ts,explorer_validators,kobe_running_bam,in_both,only_explorer,only_kobe,disputed_stake_sol,kobe_total_validators,chain_validators,onchain_matched,stake_reported_sol,stake_onchain_sol,stake_abs_diff_sol,stake_max_rel_pct,stake_median_rel_pct,bam_headline_stake_sol,bam_headline_share_pct,bam_share_reported_pct,bam_share_onchain_pct
2026-08-11T06:51:43Z,375,373,372,3,1,371457.46,,,375,141791178.46,141791178.38,0.08,0.0024,,,,32.6031,32.6031
2026-08-11T07:22:38Z,372,371,369,3,2,566500.64,,,372,141356279.88,141356279.80,0.08,0.0024,,,,32.5181,32.5181
2026-08-11T07:47:32Z,374,371,371,3,0,188241.58,667,690,374,141656400.51,141656400.43,0.08,0.0024,0.0000,141656400.43,32.5894,32.5726,32.5726
2026-08-11T08:03:14Z,374,373,371,3,2,428203.18,667,690,374,141680681.43,141680681.35,0.08,0.0024,0.0000,141680681.35,32.5950,32.5819,32.5819
2026-08-11T08:18:42Z,373,373,371,2,2,345573.82,667,691,373,141513727.31,141513727.23,0.08,0.0024,0.0000,141513727.23,32.5566,32.5393,32.5393
2026-08-11T08:34:17Z,374,373,372,2,1,246665.72,667,691,374,141638519.05,141638518.97,0.08,0.0024,0.0000,141638518.97,32.5853,32.5680,32.5680
2026-08-11T08:49:47Z,373,373,371,2,2,371457.46,667,691,373,141513727.31,141513727.23,0.08,0.0024,0.0000,141513727.23,32.5566,32.5393,32.5393
2026-08-11T09:05:16Z,373,372,371,2,1,110764.34,667,691,373,141574704.42,141574704.34,0.08,0.0024,0.0000,141574704.34,32.5706,32.5533,32.5533
2026-08-11T09:20:47Z,372,372,369,3,3,795293.10,667,690,372,141522687.48,141522687.40,0.08,0.0024,0.0000,141522687.40,32.5587,32.5759,32.5759
2026-08-11T09:36:17Z,376,373,372,4,1,296531.61,667,691,376,142118187.17,142118187.09,0.08,0.0024,0.0000,142118187.09,32.6957,32.6845,32.6845
2026-08-11T09:52:14Z,372,373,369,3,4,873480.63,667,691,372,141326078.68,141326078.61,0.07,0.0024,0.0000,141326078.61,32.5134,32.5023,32.5023
2026-08-11T10:07:45Z,373,373,369,4,4,981060.36,667,691,373,141433658.41,141433658.34,0.07,0.0024,0.0000,141433658.34,32.5382,32.5209,32.5209
2026-08-11T10:23:19Z,374,370,370,4,0,366738.38,667,692,374,141689632.45,141689632.38,0.07,0.0024,0.0000,141689632.38,32.5971,32.5797,32.5797
2026-08-11T10:38:49Z,374,370,370,4,0,366738.38,667,692,374,141689632.45,141689632.38,0.07,0.0024,0.0000,141689632.38,32.5971,32.5797,32.5797
2026-08-11T10:53:50Z,374,375,372,2,3,479037.19,667,692,374,141689632.45,141689632.38,0.07,0.0024,0.0000,141689632.38,32.5971,32.5797,32.5797
2026-08-11T11:09:20Z,374,375,372,2,3,479037.19,667,692,374,141689632.45,141689632.38,0.07,0.0024,0.0000,141689632.38,32.5971,32.5797,32.5797
2026-08-11T11:24:55Z,376,374,374,2,0,3184.61,667,692,376,142040693.29,142040693.22,0.07,0.0024,0.0000,142040693.22,32.6778,32.6605,32.6605
2026-08-11T11:40:41Z,375,374,372,3,2,585953.26,667,692,375,141921340.26,141921340.19,0.07,0.0024,0.0000,141921340.19,32.6504,32.6330,32.6330
2026-08-11T11:56:23Z,377,374,373,4,1,467263.89,667,692,377,142289613.11,142289613.04,0.07,0.0024,0.0000,142289613.04,32.7351,32.7177,32.7177
2026-08-11T12:11:55Z,374,373,372,2,1,106437.75,667,692,374,141818087.12,141818087.04,0.08,0.0024,0.0000,141818087.04,32.6266,32.6093,32.6093
2026-08-11T12:27:48Z,376,373,372,4,1,474710.60,667,692,376,142186359.97,142186359.89,0.08,0.0024,0.0000,142186359.89,32.7113,32.6939,32.6939
2026-08-11T12:42:52Z,375,373,372,3,1,354245.45,667,692,375,141925666.85,141925666.77,0.08,0.0024,0.0000,141925666.77,32.6514,32.6340,32.6340
2026-08-11T12:58:24Z,376,373,373,3,0,127976.35,667,692,376,142186359.97,142186359.89,0.08,0.0024,0.0000,142186359.89,32.7113,32.6939,32.6939
2026-08-11T13:13:25Z,375,373,372,3,1,354245.45,667,692,375,141925666.85,141925666.77,0.08,0.0024,0.0000,141925666.77,32.6514,32.6340,32.6340
2026-08-11T13:29:04Z,375,373,372,3,1,371457.46,667,692,375,141942878.86,141942878.78,0.08,0.0024,0.0000,141942878.78,32.6553,32.6380,32.6380
2026-08-11T13:44:44Z,374,373,372,2,1,246665.72,667,691,374,141818087.12,141818087.04,0.08,0.0024,0.0000,141818087.04,32.6266,32.6093,32.6093
